Output Power vs Torque Angle
Torque Angle +3 (elec. degrees)
Power (W)
2.95703	0.000000
3	27.875366
6	1974.007367
9	3920.548475
12	5867.845525
15	7816.116967
18	9765.391402
21	11715.448677
24	13665.764368
27	15615.458399
30	17563.248531
33	19507.409373
36	21445.737526
39	23375.523373
42	25293.529992
45	27195.979536
48	29078.547383
51	30936.364238
54	32764.026297
57	34555.613470
60	36304.715586
63	38004.466392
66	39647.585077
69	41226.424950
72	42733.028839
75	44159.190667
78	45496.522605
81	46736.527140
84	47870.673301
87	48890.476273
90	49787.579555
93	50553.838797
96	51181.406414
99	51662.816063
102	51991.066065
105	52159.700852
108	52162.889532
111	51995.500692
114	51653.172587
117	51132.377908
120	50430.482381
123	49545.796487
126	48477.619680
129	47226.276549
132	45793.144453
135	44180.672232
138	42392.389700
141	40432.907722
144	38307.908761
147	36024.127885
150	33589.324334
153	31012.243821
156	28302.571857
159	25470.878481
162	22528.554850
165	19487.742249
168	16361.254151
171	13162.492024
174	9905.355656
177	6604.148831
180	3273.481219
Output Power
