"H (A_per_meter)" 	"B (tesla)"
0 	0
15.935600000000001 	0.10000000000000001
31.871200000000002 	0.20000000000000001
38.6004 	0.29999999999999999
44.873699999999999 	0.40000000000000002
51.436900000000001 	0.5
58.752600000000001 	0.59999999999999998
67.244900000000001 	0.69999999999999996
77.419600000000003 	0.80000000000000004
89.999099999999999 	0.90000000000000002
106.20099999999999 	1
128.547 	1.1000000000000001
163.75299999999999 	1.2
234.83199999999999 	1.3
435.25299999999999 	1.3999999999999999
1108.3199999999999 	1.5
2801.1999999999998 	1.6000000000000001
5591.0699999999997 	1.7
9708.7600000000002 	1.8
16041.4 	1.8999999999999999
31313.299999999999 	2
88477 	2.1000000000000001
159968 	2.2000000000000002
